Date,Group,Team1,Team2,Hour,Location
11 June,GroupA,Turkey,Italy,21:00,Italy
12 June,GroupA,Wales,Switzerland,15:00,Azerbaijan
12 June,GroupB,Denmark,Finland,18:00,Denmark
12 June,GroupB,Belgium,Russia,21:00,Russia
13 June,GroupD,England,Croatia,15:00,England
13 June,GroupC,Austria,NorthMacedonia,18:00,Romenia
13 June,GroupC,Netherlands,Ukraine,21:00,Netherlands
14 June,GroupD,Scotland,CzechRepublic,15:00,Scotland
14 June,GroupE,Poland,Slovakia,18:00,Russia
14 June,GroupE,Spain,Sweden,21:00,Spain
15 June,GroupF,Hungary,Portugal,18:00,Hungary
15 June,GroupF,France,Germany,21:00,Germany
16 June,GroupB,Finland,Russia,15:00,Russia
16 June,GroupA,Turkey,Wales,18:00,Azerbaijan
16 June,GroupA,Italy,Switzerland,21:00,Italy
17 June,GroupC,Ukraine,NorthMacedonia,15:00,Romenia
17 June,GroupB,Denmark,Belgium,18:00,Denmark
17 June,GroupC,Netherlands,Austria,21:00,Netherlands
18 June,GroupE,Sweden,Slovakia,15:00,Russia
18 June,GroupD,Croatia,CzechRepublic,18:00,Scotland
18 June,GroupD,England,Scotland,21:00,England
19 June,GroupF,Hungary,France,15:00,Hungary
19 June,GroupF,Portugal,Germany,18:00,Germany
19 June,GroupE,Spain,Poland,21:00,Spain
20 June,GroupA,Italy,Wales,18:00,Italy
20 June,GroupA,Switzerland,Turkey,18:00,Azerbaijan
21 June,GroupC,NorthMacedonia,Netherlands,18:00,Netherlands
21 June,GroupC,Ukraine,Austria,18:00,Romenia
21 June,GroupB,Russia,Denmark,21:00,Denmark
21 June,GroupB,Finland,Belgium,21:00,Russia
22 June,GroupD,CzechRepublic,England,21:00,England
22 June,GroupD,Croatia,Scotland,21:00,Scotland
23 June,GroupE,Slovakia,Spain,18:00,Spain
23 June,GroupE,Sweden,Poland,18:00,Russia
23 June,GroupF,Germany,Hungary,21:00,Germany
23 June,GroupF,Portugal,France,21:00,Hungary
26 June,1,2A,2B,18:00,Netherlands
26 June,2,1A,2C,21:00,England
27 June,3,1C,3D/E/F,18:00,Hungary
27 June,4,1B,3A/D/E/F,21:00,Spain
28 June,5,2D,2E,18:00,Denmark
28 June,6,1F,3A/B/C,21:00,Romenia
29 June,7,1D,2F,18:00,England
29 June,8,1E,3A/B/C/D,21:00,Scotland
2 July,QF1,Winner6,Winner5,18:00,Russia
2 July,QF2,Winner4,Winner2,21:00,Germany
3 July,QF3,Winner3,Winner1,18:00,Azerbaijan
3 July,QF4,Winner8,Winner7,21:00,Italy
6 July,SF1,WinnerQF2,WinnerQF1,21:00,England
7 July,SF2,WinnerQF4,WinnerQF3,21:00,England
11 July,WinnerSF1,WinnerSF2,21:00,England